Area,Floors,Bedrooms,Bathrooms,Price,Legal status_Sale contract,City_Bình Dương,City_Bình Thuận,City_Bắc Ninh,City_Cần Thơ,City_Hà Nội,City_Hưng Yên,City_Hải Phòng,City_Hồ Chí Minh,City_Khánh Hòa,City_Kiên Giang,City_Long An,City_Lâm Đồng,City_Other,City_Quảng Ninh,City_Thanh Hóa,City_Đà Nẵng,City_Đắk Lắk,City_Đồng Nai
84.0,4.0,3.0,3.0,8.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
60.0,5.0,3.0,3.0,7.5,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
90.0,5.0,3.0,3.0,8.9,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
54.0,2.0,2.0,3.0,5.35,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
92.0,2.0,4.0,4.0,6.9,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
91.0,3.0,3.0,3.0,9.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
64.0,5.0,3.0,3.0,7.2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
74.0,5.0,4.0,5.0,9.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48.0,5.0,6.0,3.0,5.7,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
91.0,5.0,3.0,3.0,9.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
80.0,5.0,6.0,6.0,10.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
70.0,5.0,6.0,3.0,9.8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
60.0,5.0,3.0,3.0,8.9,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
91.0,3.0,3.0,3.0,8.6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
96.0,4.0,3.0,3.0,9.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
